@id	@lon	@lat
31258981	16.1888735	48.3911229
31368642	16.3853351	48.1983977
31368643	16.3838770	48.2038110
31368644	16.3913130	48.1913866
31368645	16.3845887	48.2011395
31368647	16.3905496	48.1882858
31368648	16.3914913	48.1908792
31368649	16.3857530	48.1968188
31368650	16.3911274	48.1889484
31368652	16.3900642	48.1879009
31368653	16.3914500	48.1896130
31368654	16.3874301	48.1870836
31368657	16.3887841	48.1872993
31368659	16.3491782	48.1788842
31368660	16.3567669	48.1798445
31368662	16.3437221	48.1769101
31368663	16.3557487	48.1797039
31368664	16.3514430	48.1792806
31368665	16.3507962	48.1791970
31368667	16.3474804	48.1784595
31368668	16.3463543	48.1780452
31368669	16.3448832	48.1773815
31368671	16.3428905	48.1766457
31458236	16.0751222	48.5147099
31466714	16.0721292	48.5605793
34018718	16.0500941	48.6431169
47926201	16.3818962	48.1880095
47997572	16.3885773	48.1934529
60825162	16.3750995	48.1859663
64697998	16.3843752	48.2415100
66441663	16.3894978	48.1875823
66441664	16.3883553	48.1871910
66442204	16.3915572	48.1902930
66442205	16.3912550	48.1891629
66442206	16.3908727	48.1886142
66442864	16.3908540	48.1920671
66444419	16.3861490	48.1953024
66444420	16.3862422	48.1949793
66444421	16.3864791	48.1945917
78486621	16.3926476	48.2143157
81627419	16.3551338	48.3072135
81627534	16.3548895	48.3074054
83605433	16.1882017	48.3915697
89020657	16.3855625	48.2069198
92335458	16.3832033	48.2406758
92341364	16.3951497	48.2470174
92341365	16.3939566	48.2461035
92341366	16.3936746	48.2459271
92341367	16.3932742	48.2456948
92342255	16.3961494	48.2481083
98378192	16.3898181	48.1928933
98378193	16.3905576	48.1923619
98385933	16.3845357	48.1876710
98385934	16.3835110	48.1879243
100125271	16.3823848	48.1880200
100126629	16.3815500	48.1879840
100789974	16.1535861	48.4742100
116688698	16.1869369	48.3928766
116688699	16.1851143	48.3972650
116688701	16.1832576	48.4020773
116688702	16.1819767	48.4043785
116688703	16.1805224	48.4064440
116688704	16.1767168	48.4116692
116688705	16.1755492	48.4127233
116688708	16.1718471	48.4150412
116688709	16.1684384	48.4171809
116688710	16.1673238	48.4186199
116688713	16.1670383	48.4201183
116688714	16.1675020	48.4215700
116688717	16.1686170	48.4228264
125556902	16.1653894	48.4621349
125573595	16.1722944	48.4258238
125574357	16.1744016	48.4278566
130060227	16.1365905	48.4825155
140062525	16.3845760	48.2055704
140306002	16.1756946	48.4310563
140306003	16.1757119	48.4313606
160428573	16.1876235	48.3920663
160428576	16.1864691	48.3937335
179910364	16.1744747	48.4134715
232050270	16.0550634	48.8501436
232050276	16.0545823	48.8498340
232050283	16.0523932	48.8483976
232050290	16.0502480	48.8470186
232050298	16.0497884	48.8467215
232050307	16.0491392	48.8461662
232050316	16.0487631	48.8456101
232050326	16.0485944	48.8450066
232050333	16.0486330	48.8443997
232050342	16.0494888	48.8423649
232050350	16.0488953	48.8437022
235136393	16.0496524	48.8417561
235136401	16.0496591	48.8414519
235136409	16.0495659	48.8409866
235136412	16.0493994	48.8406219
235136421	16.0491430	48.8402631
235136428	16.0486275	48.8397837
235136436	16.0474223	48.8389242
235136442	16.0471726	48.8387033
235136447	16.0467328	48.8381517
235136491	16.0464989	48.8375598
235136496	16.0464714	48.8369681
235136499	16.0466385	48.8363774
235136502	16.0470016	48.8358275
235136508	16.0472580	48.8355694
235136515	16.0492259	48.8340118
235136523	16.0496858	48.8334806
235136529	16.0498458	48.8331948
235136538	16.0500123	48.8325958
235136541	16.0498749	48.8316859
235136549	16.0495289	48.8311187
235136559	16.0489902	48.8306113
235136572	16.0483021	48.8302042
235136585	16.0474934	48.8299104
235136594	16.0466112	48.8297359
235136597	16.0444380	48.8294280
235136602	16.0436978	48.8292273
235136611	16.0428417	48.8288281
235136617	16.0423095	48.8284354
235136624	16.0418549	48.8279065
235136628	16.0415786	48.8273135
235136633	16.0415226	48.8266959
235136640	16.0418319	48.8257708
235136645	16.0434253	48.8228092
235136652	16.0439093	48.8218385
235136657	16.0441309	48.8211771
235136663	16.0442549	48.8204051
235136668	16.0442389	48.8194541
235136674	16.0438688	48.8180721
235136679	16.0434011	48.8171880
235136684	16.0395238	48.8124673
235136692	16.0391715	48.8119141
235136699	16.0389910	48.8113046
235136704	16.0390984	48.8103878
235136710	16.0394125	48.8098160
235136715	16.0399059	48.8093011
235136723	16.0405521	48.8088608
235136730	16.0528948	48.8024826
235136740	16.0537613	48.8018979
235136745	16.0546690	48.8008954
235136754	16.0550293	48.8001598
