,lat,lon
189,48.817188,16.0434011
190,48.8169656,16.043253
191,48.8167532,16.0430932
192,48.8160364,16.0425042
193,48.8134365,16.040324599999998
194,48.8133074,16.0402163
195,48.8133074,16.0402163
196,48.812467299999994,16.0395238
197,48.8123459,16.039423499999998
198,48.812200399999995,16.0393265
199,48.8120499,16.0392384
200,48.8119141,16.0391715
201,48.8117747,16.039108499999998
202,48.8116174,16.039054699999998
203,48.8114532,16.0390174
204,48.8113046,16.038991
205,48.8111435,16.0389741
206,48.811000899999996,16.0389786
207,48.811000899999996,16.0389786
208,48.8108357,16.0389876
209,48.8106961,16.039012900000003
210,48.8105496,16.0390503
211,48.810387799999994,16.0390984
212,48.8102458,16.0391563
213,48.8100934,16.0392339
214,48.8099518,16.039322
215,48.809816,16.0394125
